NomCadre	IdCadre	NomJeuDonnees	IdJeuDonnees	TypeDonnees	Financeur	MaitreOuvrage	MaitreOeuvre	Fournisseur	Producteur	GestionnaireJdd	GestionnaireCadre	Lien
"Inventaires et suivis naturalistes de la RNN des prés salés d'Arès et de Lège-Cap Ferret - Plan de gestion 2016-2020"	ecc0e3f6-6a95-4d9d-acb5-e51bb25f2026	"Suivi de la faune aquatique des réservoirs à poissons"	4afc3a56-496e-44a2-8b1c-16b34e749d2a	Occurrence	"Agence de l'eau Adour-Garonne, CD 33, DREAL Nouvelle Aquitaine, OFB, ONCFS, Région Nouvelle Aquitaine, RNN Prés Salés Arès Lège"			"RNN Prés Salés Arès Lège"	"RNN Prés Salés Arès Lège"	"RNN Prés Salés Arès Lège"	"RNN Prés Salés Arès Lège"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/4afc3a56-496e-44a2-8b1c-16b34e749d2a
"Atlas de la Biodiversité Communales sur la Communauté de Commune de Montesquieu"	b4082133-da7a-4ac1-b4af-c7ce4235b497	"Inventaire amphibien protocolé"	bfb0e2b4-2847-47c2-978c-d7aa66b93c7d	Occurrence	"ComCom Montesquieu, OFB"	"ComCom Montesquieu"	"ComCom Montesquieu"	"Cistude Nature"	"Cistude Nature"	"Cistude Nature"	"ComCom Montesquieu"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/bfb0e2b4-2847-47c2-978c-d7aa66b93c7d
"Atlas de la Biodiversité Communales sur la Communauté de Commune de Montesquieu"	b4082133-da7a-4ac1-b4af-c7ce4235b497	"Données faune opportuniste récoltées en marge des protocoles Amphibien & Reptiles"	0200618f-0650-4e9a-ab4f-cc0042f632a1	Occurrence	"ComCom Montesquieu, OFB"	"ComCom Montesquieu"	"ComCom Montesquieu"	"Cistude Nature"	"Cistude Nature"	"Cistude Nature"	"ComCom Montesquieu"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/0200618f-0650-4e9a-ab4f-cc0042f632a1
"Atlas de la Biodiversité Communales sur la Communauté de Commune de Montesquieu"	b4082133-da7a-4ac1-b4af-c7ce4235b497	"Inventaire poisson protocolé"	90d4b6f4-e736-47da-b5c4-f496cdca9e68	Occurrence	"ComCom Montesquieu, OFB"	"ComCom Montesquieu"	"ComCom Montesquieu"	"FDAAPPMA 33"	"FDAAPPMA 33"	"FDAAPPMA 33"	"ComCom Montesquieu"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/90d4b6f4-e736-47da-b5c4-f496cdca9e68
"Atlas de la Biodiversité Communales sur la Communauté de Commune de Montesquieu"	b4082133-da7a-4ac1-b4af-c7ce4235b497	"Inventaire écrevisse protocolé"	40f09439-a950-4d72-b370-c3de4c4602e0	Occurrence	"ComCom Montesquieu, OFB"	"ComCom Montesquieu"	"ComCom Montesquieu"	"FDAAPPMA 33"	"FDAAPPMA 33"	"FDAAPPMA 33"	"ComCom Montesquieu"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/40f09439-a950-4d72-b370-c3de4c4602e0
"Réseau RCS"	956f953a-db80-4c7f-a7b2-bb20c995ba52	"Inventaire pêches scientifiques"	76bc7ec9-1494-49e4-b05b-cbdb56856e1a	Occurrence	OFB	OFB	"FDAAPPMA 33"	"FDAAPPMA 33"	"FDAAPPMA 33"	"FDAAPPMA 33"	"FDAAPPMA 33"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/76bc7ec9-1494-49e4-b05b-cbdb56856e1a
"Atlas de la Biodiversité Communale (ABC) de la Communauté de Communes de la Vallée de l'Homme (24)"	733328b2-706b-416b-a903-dfda0c8b70e5	"Observations faunistiques fortuites réalisées par le CEN Nouvelle-Aquitaine "	54e9b0eb-8a13-4808-abed-9fdb9f97ec71	Occurrence	OFB	CCVH	"CEN Nouvelle-Aquitaine"	"CEN Nouvelle-Aquitaine"	"CEN Nouvelle-Aquitaine"	"CEN Nouvelle-Aquitaine"	"CEN Nouvelle-Aquitaine"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/54e9b0eb-8a13-4808-abed-9fdb9f97ec71
"Atlas de la Biodiversité Communale de Villeneuve-sur-Lot (47)"	100bb039-1ef6-45af-a3f5-4712baed49ff	"Données opportunistes"	069f75fb-4782-495f-bf1d-12645bed52bb	Occurrence	"Commune de Villeneuve-sur-Lot, OFB"	"Commune de Villeneuve-sur-Lot, CPIE 47"	"CPIE 47"	"CPIE 47"	"CPIE 47"	"CPIE 47"	"CPIE 47"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/069f75fb-4782-495f-bf1d-12645bed52bb
"Atlas de la Biodiversité Communale (ABC) de la Communauté de Communes de la Vallée de l'Homme (24)"	733328b2-706b-416b-a903-dfda0c8b70e5	"Inventaire herpeto"	7fde91b2-320e-4da7-bc11-f758c2124961	Occurrence	OFB	CCVH	"CEN Nouvelle-Aquitaine"	"Cistude Nature"	"Cistude Nature"	"Cistude Nature"	"CEN Nouvelle-Aquitaine"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/7fde91b2-320e-4da7-bc11-f758c2124961
"Atlas de Biodiversité Communale d'Orx"	cc3343b7-b2a1-4663-8fac-d3fd9bad2eb8	"Totalité des inventaires faune"	235147e6-85f4-42b5-82a8-602803f5ba97	Occurrence	OFB	"Commune d'Orx"	"CPIE Seignanx & Adour"	"CPIE Seignanx & Adour"	"CPIE Seignanx & Adour"	"CPIE Seignanx & Adour"	"CPIE Seignanx & Adour"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/235147e6-85f4-42b5-82a8-602803f5ba97
